Comment,Designator,Footprint,Quantity,LCSC Part #,Note
ESP32-S3-WROOM-1-N4R2,U1,RF_Module:ESP32-S3-WROOM-1,1,C2913203,"module pre-certifie, PSRAM 2MB garanti, pose machine"
MAX98357AETE+T,U2,QFN-16-1EP_3x3mm,1,C910544,
RX8025T-UC Epson (DTCXO ±3.8ppm),U3,SO-14_5.3x10.2mm,1,C53691,"authentique; variante -UB = C17353; AUCUN quartz externe requis"
AMS1117-3.3,U4,SOT-223-3_TabPin2,1,C6186,
USB-C 16P HRO TYPE-C-31-M-12,J3,HRO_TYPE-C-31-M-12,1,C165948,
microSD Hirose DM3AT,J1,DM3AT-SF-PEJM5,1,C114218,"GARDE (qualite): les contacts SD sont le point faible connu, pas d economie ici"
Tact switch TL3342,"SW1,SW2",SW_SPST_TL3342,2,C318884,"RESET + BOOT"
100nF 50V X7R,"C1,C3,C7",C_0805,3,C49678,
10uF 25V,"C2,C4",C_0805,2,C15850,
1uF 25V,C8,C_0805,1,C28323,"RC du EN"
100uF 16V alu D6.3x5.4,"C5,C6",CP_Elec_6.3x5.4,2,C99838,
10k 1%,"R1,R2,R6,R7,R8,R9",R_0805,6,C17414,"pullups SD/EN/INT/I2C"
100k 1%,R3,R_0805,1,C17407,
5.1k 1%,"R4,R5",R_0805,2,C27834,"CC1/CC2 USB-C sink"
DNP - pads fils,"J2,J4,J5,J6,J7",PinHeader tht,0,,"trous nus: J2+J6 = 2 enceintes (8 ohms chacune!), TTP223, LED, 5V alt"
DNP - test points,"TP1-TP6",TestPoint_Pad_D1.5mm,0,,"pads nus: 3V3/GND/TX/RX/EN/IO0"
BAT54C double Schottky cathode commune (JSCJ),D1,SOT-23,1,C2135,"aiguillage 3V3/pile du RTC; FACE ARRIERE, soudure main avec BT1 (hors assemblage JLC)"
Support CR1225 CMS (Keystone 3000 ou equiv.),BT1,BatteryHolder_Keystone_3000_1x12mm,1,,"FACE ARRIERE (dessous), soudure main apres assemblage JLC; pile CR1225 fournie dans la boite (~7 ans a 0.75uA)"
