Designator,Mid X,Mid Y,Layer,Rotation
C1,165.500000,-122.000000,top,90.000000
C2,165.500000,-126.000000,top,90.000000
C3,181.000000,-100.000000,top,0.000000
C4,181.000000,-105.000000,top,0.000000
C5,149.500000,-131.500000,top,0.000000
C6,135.000000,-122.500000,top,0.000000
C7,146.000000,-120.000000,top,0.000000
C8,139.000000,-98.000000,top,0.000000
J1,167.500000,-104.000000,top,180.000000
J3,124.000000,-135.705000,top,0.000000
R1,153.000000,-101.000000,top,0.000000
R2,153.000000,-105.000000,top,0.000000
R3,176.000000,-118.000000,top,0.000000
R4,119.500000,-128.000000,top,0.000000
R5,123.000000,-128.000000,top,0.000000
R6,139.000000,-95.000000,top,0.000000
R7,148.500000,-124.000000,top,90.000000
R8,157.500000,-131.500000,top,0.000000
R9,157.500000,-134.000000,top,0.000000
SW1,146.500000,-91.000000,top,0.000000
SW2,155.000000,-91.000000,top,0.000000
U1,123.050000,-106.000000,top,90.000000
U2,170.000000,-118.000000,top,0.000000
U3,158.500000,-122.500000,top,0.000000
U4,140.000000,-130.000000,top,0.000000
