Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",132.000000,-119.000000,90.000000,top
"C2","10uF","C_0805_2012Metric",141.000000,-119.000000,90.000000,top
"C3","100nF","C_0805_2012Metric",135.000000,-119.000000,90.000000,top
"C4","100nF","C_0805_2012Metric",139.500000,-78.600000,90.000000,top
"C5","10uF","C_0805_2012Metric",139.500000,-75.000000,90.000000,top
"C6","1uF","C_0805_2012Metric",139.500000,-85.800000,90.000000,top
"C7","100uF","CP_Elec_6.3x5.4",157.000000,-133.000000,0.000000,top
"C8","100nF","C_0805_2012Metric",164.000000,-135.000000,90.000000,top
"C10","100nF","C_0603_1608Metric",158.657600,-144.051800,102.500000,top
"C11","100nF","C_0603_1608Metric",168.469900,-140.480400,117.500000,top
"C12","100nF","C_0603_1608Metric",177.023600,-134.491100,132.500000,top
"C13","100nF","C_0603_1608Metric",183.735700,-126.492000,147.500000,top
"C14","100nF","C_0603_1608Metric",188.148700,-117.028200,162.500000,top
"C15","100nF","C_0603_1608Metric",189.961900,-106.744800,177.500000,top
"C16","100nF","C_0603_1608Metric",189.051800,-96.342400,-167.500000,top
"C17","100nF","C_0603_1608Metric",185.480400,-86.530100,-152.500000,top
"C18","100nF","C_0603_1608Metric",179.491100,-77.976400,-137.500000,top
"C19","100nF","C_0603_1608Metric",171.492000,-71.264300,-122.500000,top
"C20","100nF","C_0603_1608Metric",162.028200,-66.851300,-107.500000,top
"C21","100nF","C_0603_1608Metric",151.744800,-65.038100,-92.500000,top
"C22","100nF","C_0603_1608Metric",148.255200,-65.038100,-87.500000,top
"C23","100nF","C_0603_1608Metric",137.971800,-66.851300,-72.500000,top
"C24","100nF","C_0603_1608Metric",128.508000,-71.264300,-57.500000,top
"C25","100nF","C_0603_1608Metric",120.508900,-77.976400,-42.500000,top
"C26","100nF","C_0603_1608Metric",114.519600,-86.530100,-27.500000,top
"C27","100nF","C_0603_1608Metric",110.948200,-96.342400,-12.500000,top
"C28","100nF","C_0603_1608Metric",110.038100,-106.744800,2.500000,top
"C29","100nF","C_0603_1608Metric",111.851300,-117.028200,17.500000,top
"C30","100nF","C_0603_1608Metric",116.264300,-126.492000,32.500000,top
"C31","100nF","C_0603_1608Metric",122.976400,-134.491100,47.500000,top
"C32","100nF","C_0603_1608Metric",131.530100,-140.480400,62.500000,top
"C33","100nF","C_0603_1608Metric",141.342400,-144.051800,77.500000,top
"D1","USBLC6-2SC6","SOT-23-6",150.000000,-132.000000,0.000000,top
"F1","1.1A 6V","Fuse_1206_3216Metric",142.000000,-135.000000,0.000000,top
"J1","USB-C 16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",150.000000,-151.600000,0.000000,top
"J2","5V / GND alt","PinHeader_1x02_P2.54mm_Vertical",175.000000,-119.000000,0.000000,top
"LED1","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",154.960000,-142.674900,7.500000,top
"LED2","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",164.542000,-140.107400,22.500000,top
"LED3","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",173.132900,-135.147400,37.500000,top
"LED4","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",180.147400,-128.132900,52.500000,top
"LED5","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",185.107400,-119.542000,67.500000,top
"LED6","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",187.674900,-109.960000,82.500000,top
"LED7","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",187.674900,-100.040000,97.500000,top
"LED8","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",185.107400,-90.458000,112.500000,top
"LED9","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",180.147400,-81.867100,127.500000,top
"LED10","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",173.132900,-74.852600,142.500000,top
"LED11","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",164.542000,-69.892600,157.500000,top
"LED12","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",154.960000,-67.325100,172.500000,top
"LED13","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",145.040000,-67.325100,-172.500000,top
"LED14","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",135.458000,-69.892600,-157.500000,top
"LED15","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",126.867100,-74.852600,-142.500000,top
"LED16","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",119.852600,-81.867100,-127.500000,top
"LED17","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",114.892600,-90.458000,-112.500000,top
"LED18","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",112.325100,-100.040000,-97.500000,top
"LED19","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",112.325100,-109.960000,-82.500000,top
"LED20","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",114.892600,-119.542000,-67.500000,top
"LED21","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",119.852600,-128.132900,-52.500000,top
"LED22","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",126.867100,-135.147400,-37.500000,top
"LED23","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",135.458000,-140.107400,-22.500000,top
"LED24","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",145.040000,-142.674900,-7.500000,top
"Q1","ALS-PT19-315C","LED_0805_2012Metric",133.000000,-75.600000,0.000000,top
"R1","10k","R_0805_2012Metric",139.500000,-82.200000,90.000000,top
"R2","10k","R_0805_2012Metric",160.500000,-85.800000,90.000000,top
"R3","10k","R_0805_2012Metric",160.500000,-82.200000,90.000000,top
"R4","10k","R_0805_2012Metric",136.000000,-84.000000,90.000000,top
"R5","5.1k","R_0805_2012Metric",164.000000,-125.000000,0.000000,top
"R6","5.1k","R_0805_2012Metric",164.000000,-128.500000,0.000000,top
"R7","330R","R_0805_2012Metric",153.000000,-138.500000,0.000000,top
"R8","10k","R_0805_2012Metric",133.000000,-79.500000,0.000000,top
"SW1","RESET","SW_SPST_TL3342",136.000000,-91.000000,0.000000,top
"SW2","BOOT","SW_SPST_TL3342",136.000000,-99.000000,0.000000,top
"SW3","USER","SW_SPST_TL3342",164.000000,-91.000000,0.000000,top
"U1","ESP32-C3-MINI-1-N4","ESP32-C3-MINI-1",150.000000,-81.000000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",138.000000,-125.000000,0.000000,top
"U3","74AHCT1G125","SOT-23-5",159.500000,-138.500000,0.000000,top
