Comment,Designator,Footprint,Quantity,LCSC Part #
ESP32-C3-MINI-1-N4,U1,Halo:ESP32-C3-MINI-1,1,C2838111
AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,C6186
74AHCT1G125GV,U3,Package_TO_SOT_SMD:SOT-23-5,1,C52140417
USBLC6-2SC6,D1,Package_TO_SOT_SMD:SOT-23-6,1,C7519
SMD1206P110TF,F1,Fuse:Fuse_1206_3216Metric,1,C20801
USB-C 16P HRO TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,C165948
Tact switch TL3342,"SW1,SW2,SW3",SW_SPST_TL3342,3,C318884
10k 1%,"R1,R2,R3,R4,R8",R_0805_2012Metric,5,C17414
5.1k 1%,"R5,R6",R_0805_2012Metric,2,C27834
330R 1%,R7,R_0805_2012Metric,1,C17630
10uF 25V,"C1,C2,C5",C_0805_2012Metric,3,C15850
100nF 50V X7R,"C3,C4,C8",C_0805_2012Metric,3,C49678
1uF 25V,C6,C_0805_2012Metric,1,C28323
100uF 16V alu D6.3x5.4,C7,CP_Elec_6.3x5.4,1,C99838
100nF 50V X7R,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33",Capacitor_SMD:C_0603_1608Metric,24,C14663
WS2812C-2020-V1,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24",Halo:LED_WS2812B-2020_PLCC4_2.0x2.0mm,24,C2976072
